id,name,role,institution,country,works_count,cited_by_count,h_index
"https://openalex.org/A5077297577","M. Emoto","Associate Professor","","",1770211,3288,32
"https://openalex.org/A5028125522","T. Kobayashi","Associate Professor","","",1478138,3573,28
"https://openalex.org/A5053271482","H. Funaba","Associate Professor","","",1065843,4917,37
"https://openalex.org/A5043579160","T. Tokuzawa","Associate Professor","","",671591,6661,40
"https://openalex.org/A5076193546","I. Yamada","Professor / Expert","","",445110,7195,44
"https://openalex.org/A5086806278","K. Ida","Professor / Expert","","",437539,15977,59
"https://openalex.org/A5134815396","Mitsutaka ISOBE","Student / Beginner","","",429588,0,0
"https://openalex.org/A5134800537","Kunihiro OGAWA","Student / Beginner","","",429283,0,0
"https://openalex.org/A5134754013","Joshua Adkins","Student / Beginner","","",378038,0,0
"https://openalex.org/A5044512393","Mary L. Berbee","Professor / Expert","","",370739,9536,49
"https://openalex.org/A5037491546","Julia Pawłowska","Associate Professor","","",370697,5629,29
"https://openalex.org/A5022654839","Terry Law","Student / Beginner","","",357569,0,0
"https://openalex.org/A5134806286","Masaki OSAKABE","Student / Beginner","","",322305,0,0
"https://openalex.org/A5035984477","Tomoki Kondo","Assistant Professor / Researcher","","",312504,854,16
"https://openalex.org/A5035651875","H. Nuga","Assistant Professor / Researcher","","",296971,653,14
"https://openalex.org/A5072928702","S. Kamio","Assistant Professor / Researcher","","",262325,1259,18
"https://openalex.org/A5134767719","Ryosuke SEKI","Student / Beginner","","",246848,0,0
"https://openalex.org/A5134838409","Kenji TANAKA","Student / Beginner","","",166379,0,0
"https://openalex.org/A5023208979","Y. Takemura","Assistant Professor / Researcher","","",155352,1046,19
"https://openalex.org/A5112247009","Hayato Tsuchiya","Postdoc / Early Career","","",142718,99,5
"https://openalex.org/A5134669567","Hiroe IGAMI","Student / Beginner","","",142594,0,0
"https://openalex.org/A5134890410","Ichihiro YAMADA","Student / Beginner","","",132967,0,0
"https://openalex.org/A5134927249","Yasuhiro SUZUKI","Student / Beginner","","",130523,0,0
"https://openalex.org/A5134799982","Yutaka FUJIWARA","Student / Beginner","","",129961,0,0
"https://openalex.org/A5134862456","Kunihiro OGAWA","Student / Beginner","","",122512,0,0
"https://openalex.org/A5134871065","Mitsutaka ISOBE","Student / Beginner","","",122512,0,0
"https://openalex.org/A5056895519","Markus Göker","Professor / Expert","","",121723,36220,62
"https://openalex.org/A5089245822","Joshua Adkins","Professor / Expert","","",115545,17116,61
"https://openalex.org/A5134725876","Kunihiro OGAWA","Student / Beginner","","",112330,0,0
"https://openalex.org/A5134744216","Mitsutaka ISOBE","Student / Beginner","","",112330,0,0
"https://openalex.org/A5134906931","Katsumi IDA","Student / Beginner","","",111148,0,0
"https://openalex.org/A5134720058","Tetsuo SEKI","Student / Beginner","","",110341,0,0
"https://openalex.org/A5134755782","Chihiro SUZUKI","Student / Beginner","","",108077,0,0
"https://openalex.org/A5134793704","Katsumi IDA","Student / Beginner","","",108077,0,0
"https://openalex.org/A5020192096","Sarah Leichty","Postdoc / Early Career","","",102867,61,4
"https://openalex.org/A5039600762","M. Shoji","Associate Professor","","",100008,806327,38
"https://openalex.org/A5006106430","T. Nishitani","Associate Professor","","",98026,7993,39
"https://openalex.org/A5087680499","S. Ohdachi","Associate Professor","","",97683,5555,40
"https://openalex.org/A5134744010","Kenji SAITO","Student / Beginner","","",97680,0,0
"https://openalex.org/A5040654425","George M Garrity","Professor / Expert","","",96203,45458,52
"https://openalex.org/A5053617215","Charles Thomas Parker","Assistant Professor / Researcher","","",95794,1903,12
"https://openalex.org/A5074663242","Tujin Shi","Associate Professor","","",94857,4889,37
"https://openalex.org/A5134876862","Chihiro SUZUKI","Student / Beginner","","",93647,0,0
"https://openalex.org/A5134812731","Masahiro KOBAYASHI","Student / Beginner","","",91500,0,0
"https://openalex.org/A5012213483","H. Tanaka","Associate Professor","","",84367,1930,24
"https://openalex.org/A5134779766","Gen MOTOJIMA","Student / Beginner","","",84319,0,0
"https://openalex.org/A5134913734","Ryo YASUHARA","Student / Beginner","","",81570,0,0
"https://openalex.org/A5048174800","K. Tanaka","Professor / Expert","","",80941,9031,45
"https://openalex.org/A5000439024","T. Oishi","Associate Professor","","",80099,1626,21
"https://openalex.org/A5081004636","S. Matsuoka","Postdoc / Early Career","","",78095,305,10
"https://openalex.org/A5134890551","Ryosuke SEKI","Student / Beginner","","",77617,0,0
"https://openalex.org/A5077382678","Karin Rodland","Professor / Expert","","",75873,17787,60
"https://openalex.org/A5006191066","Scott Baker","Professor / Expert","","",75656,17975,60
"https://openalex.org/A5134818759","Yasuhiro SUZUKI","Student / Beginner","","",69849,0,0
"https://openalex.org/A5058811459","Vladislav Petyuk","Professor / Expert","","",69373,16396,56
"https://openalex.org/A5134706976","Motoshi GOTO","Student / Beginner","","",68591,0,0
"https://openalex.org/A5077731390","Kristin Burnum-Johnson","Professor / Expert","","",67981,6645,45
"https://openalex.org/A5134660624","Kenichi NAGAOKA","Student / Beginner","","",67084,0,0
"https://openalex.org/A5134727532","Suguru MASUZAKI","Student / Beginner","","",67084,0,0
"https://openalex.org/A5134835055","Ryosuke SEKI","Student / Beginner","","",66124,0,0
"https://openalex.org/A5134836808","Sarah Leichty","Student / Beginner","","",65503,0,0
"https://openalex.org/A5043928018","Tao Liu","Professor / Expert","","",65359,16985,61
"https://openalex.org/A5005196385","Matthew Monroe","Professor / Expert","","",64199,16447,60
"https://openalex.org/A5134895850","Keisuke FUJII","Student / Beginner","","",59447,0,0
"https://openalex.org/A5044610102","Marija Veličković","Assistant Professor / Researcher","","",58554,433,11
"https://openalex.org/A5030422039","S. Masuzaki","Professor / Expert","","",58221,11959,51
"https://openalex.org/A5052162325","H. Sugama","Associate Professor","","",56760,4895,39
"https://openalex.org/A5006059092","M. Nunami","Associate Professor","","",56628,1988,24
"https://openalex.org/A5018236442","Daniel M. Master","Assistant Professor / Researcher","","",56278,730,12
"https://openalex.org/A5004043577","Juan Moisés de la Serna","Postdoc / Early Career","","",56134,236,7
"https://openalex.org/A5134862719","Haylie Kimball","Student / Beginner","","",56036,0,0
"https://openalex.org/A5061414245","Ashley Rubinstein","Postdoc / Early Career","","",55975,124,5
"https://openalex.org/A5042510341","S. Inagaki","Professor / Expert","","",54017,7368,42
"https://openalex.org/A5134709268","Katsumi IDA","Student / Beginner","","",53266,0,0
